0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
203,8719,9699,8952,8008,8293,5664,2061,820,7203,8029,167,513,3108,7698,5440,8020,326,4696,5431
3830,9649,4801,8550,9792,5879,3472,7996,6730,4524,6226,9188,4645,8421,3931,3015,8131,8779,7376,8759
2605,9533,8902,8802,9038,9016,3014,8917,813,1123,6887,5851,8149,8446,6409,406,9586,1419,4761,2211
2082,9242,8268,8828,8637,9180,7539,4004,7962,1648,9162,8063,284,539,1638,4745,9871,2464,1528,3062
235,1675,9097,8709,3136,1870,995,8150,431,4174,8704,9281,8800,7393,7507,6400,9332,4370,1460,2114
4888,125,2558,9979,9086,5168,3690,9434,1266,19,8909,5361,4615,4168,5401,2619,8010,7079,430,4698
3448,8527,8727,8542,9880,1569,5447,3565,9532,4296,4699,4923,7165,1089,2962,5009,2881,6069,8753,9627
6256,2481,6427,6262,9034,1217,3480,2448,9164,901,5642,1537,7894,7222,5012,5327,7632,1252,2411,3158
6420,2760,8615,8395,9168,8343,3370,2109,9150,2985,4054,4781,8448,3865,5088,1154,9807,204,3547,393
6823,2753,9009,8059,8144,2303,7769,9562,8642,2203,6241,1586,5877,8775,2056,2214,7548,5705,3734,4188
4338,9778,9370,7990,8110,5033,5771,2110,3271,2093,9287,7080,777,3140,9699,350,6663,3955,2547,7254
5400,9208,9016,8650,9281,9888,3519,58,8932,7886,3946,586,6604,1966,4191,7738,2064,3722,154,4009
3223,4760,6219,2057,8253,1062,2747,8032,7957,6928,2025,5975,806,3354,3161,6718,7748,7018,28,3131
303,7970,6910,9575,9245,2474,7644,7854,99,326,9539,632,2148,2637,6117,4823,8148,6745,4067,6636
6203,9421,996,9708,246,1886,3053,1346,6747,8205,8455,4504,298,5296,767,333,9200,3804,4027,6599
2746,1431,6212,9456,9505,1557,3543,9333,7696,5084,8021,3605,4005,1171,7397,2130,8701,1468,7765,344
7429,9759,7462,9228,9821,2745,591,641,5750,5497,5307,2466,3994,1406,3941,3678,3430,426,7333,5017
5264,5483,8062,8241,8724,2911,5303,8178,7828,6627,8879,5109,3381,1020,7294,5089,3017,3496,5805,3009
863,8778,2305,9722,8505,9120,3639,1483,98,5053,6687,439,7849,9082,6615,267,3279,4658,7961,3090
3074,9033,70,8189,8841,135,5578,8511,8310,7408,4050,739,8443,746,2402,8220,6747,2186,1176,2140
5044,6605,9026,9557,9309,4933,2998,8752,9603,1932,3318,7830,1622,5299,1506,1765,4664,1977,9068,6659
7155,1200,8092,9461,8047,2146,3555,8670,6191,3835,6107,4395,8755,6630,3148,880,5519,7148,5612,2139
3038,9645,9060,6786,5127,643,5282,9578,2580,558,6899,9632,250,9495,5493,3077,115,3868,9947,1761
5300,5255,3693,7883,9246,1594,3679,3624,96,4915,3590,6877,7897,2306,97,6436,7871,3346,5284,1515
3705,8649,4496,9006,8174,6019,7453,8547,5687,3715,6936,5395,2895,5543,956,2050,8426,4669,8208,4777
1702,386,9824,1162,9484,843,7728,5218,7302,5240,5669,6410,7396,819,6206,4928,3468,2926,1724,5584
6115,7964,9878,7980,9416,5032,112,2106,2654,2394,3337,8966,7366,4493,3944,8426,3948,5862,6980,1762
5059,153,8700,8524,7887,5003,7563,1563,1775,402,8143,662,2293,8851,5248,2278,8958,5176,5549,1227
4087,6743,4523,6773,8803,8931,3334,9112,47,913,3317,4039,4547,3187,5898,4916,4262,7686,5029,5527
6794,240,2577,9321,9698,1301,4902,1746,6915,8354,3998,5137,1487,4119,2462,7638,2890,6901,8737,3111
4934,7044,2571,2058,9379,734,5753,9882,5818,9609,3647,4148,2685,9499,3921,3031,2702,1900,4919,801
7283,6770,7746,9825,9606,773,5484,8058,2945,64,6682,8730,5973,5046,1357,4589,4250,7203,4302,3081
116,8116,4274,9972,9756,1114,3494,6128,9958,8053,2071,2515,5194,2655,1755,2272,3992,6319,3870,6312
6946,1670,8650,7898,9980,676,3640,9143,9284,8097,6073,8843,9420,2594,2607,5021,6025,6871,4709,5226
7009,2254,9697,1457,1516,173,5716,1961,5412,4249,7843,3349,878,475,4403,4371,8162,5085,3177,9060
1842,8141,6915,9586,4990,555,3479,4177,3565,329,5880,5229,1776,7233,7361,9409,6648,149,7209,614
2803,9234,923,320,9714,9451,3711,2222,4369,4802,6417,1312,1150,4520,3984,7561,5379,6771,2707,5482
5384,6399,6929,9571,9628,7170,3666,8406,2545,7451,5943,9373,5702,3912,3485,9055,3759,6199,2237,3091
6181,7609,8639,6170,9433,4200,3517,8443,6991,5849,5581,5591,5233,2483,3913,5263,4166,7571,907,5466
7172,7540,6411,5000,8340,6095,6754,1664,4253,4112,3432,2128,1593,4804,1179,4758,8992,3182,9817,2234
4375,7823,1807,9205,9444,6488,3531,3813,2789,2135,6442,2076,5900,5363,6908,5397,4140,7957,4392,9468
1007,9710,7737,8443,7945,1723,6788,527,856,3348,6047,5438,4975,3801,6938,9210,6063,9222,6875,423
6802,9345,4458,8514,8837,873,6748,3510,3849,6986,3409,8008,7602,8594,205,4138,5028,1400,3005,4264
6314,4680,9320,4360,9296,8501,3077,4270,119,9170,3899,8676,6238,8207,1625,5287,8672,7636,6834,9816
1595,419,8668,9644,8115,2390,3710,6302,4318,7820,4171,9505,3718,5172,7167,2077,3844,2487,2715,2844
844,1614,9507,8148,9702,1279,3655,7215,7219,2075,8590,5593,9238,3291,9120,9876,5574,6164,456,6652
3253,8782,3460,9398,8591,2410,3473,1593,9651,7594,1669,7327,1727,2755,3166,6327,9529,9814,5128,3184
2894,9675,984,8282,3336,5874,7797,7897,4913,2699,5533,5202,4332,8472,6373,7726,2880,6170,8172,3167
2999,4708,625,8408,6412,3916,5752,1834,7719,694,8279,587,91,8394,5223,196,5651,6658,5577,9237
6240,2825,9284,2613,9632,8122,5674,7056,4345,888,4795,82,3435,925,3846,6434,3144,1520,2173,9085
1450,3225,8090,8427,48,1167,1410,9782,1495,4136,5950,8621,5747,5761,4242,2048,7751,2394,4449,3191
1479,9837,4112,3294,9973,8955,3569,7382,2334,900,8090,181,5883,5999,3530,4674,6220,2585,5701,3082
5486,7458,9148,9017,6661,7479,3503,1936,3676,1703,5972,2458,5051,2557,3217,1927,9766,2908,1666,6640
2267,7955,1292,7829,7897,4807,3936,9715,2372,4263,4105,5153,7690,1862,2923,2273,3455,4418,5931,2158
4555,2153,8114,2589,7221,2197,2997,9163,5244,262,8433,2885,8551,1398,4162,4031,9077,683,2639,6655
1575,2450,3431,8654,8254,2475,5685,9470,2117,1340,3221,3970,6635,2439,2505,2873,6603,2337,6118,6139
5078,9912,1303,8372,8570,9652,6539,8924,1835,3520,2854,9086,6721,6519,5946,3153,5372,7908,2931,2936
6827,9194,251,9768,8304,799,1039,8882,3386,5760,5541,8271,2527,1937,5217,4643,7272,6299,1850,8055
2704,2344,9844,1027,9944,2576,6776,9240,1489,1295,7832,201,6582,6743,3293,2205,4373,4906,4655,3017
6079,5817,8340,8995,8905,4995,5160,1164,5900,5451,8811,8362,5517,2812,2518,8754,581,3607,2015,345
4755,7184,1739,9310,3450,8483,3287,8901,1462,7281,5551,4000,3685,3059,3781,2822,5665,7130,5572,3286
6919,7153,2827,9370,1155,9445,3580,1774,1380,7908,5637,3909,9363,4938,618,7766,3314,4879,9270,545
4856,2482,8978,8702,8788,2738,3691,8542,7445,3837,8976,6394,1775,480,3896,2338,4271,7624,5632,8964
775,1247,7862,1320,8825,584,7591,7107,6210,5942,3244,6367,3689,5366,3693,2049,114,1181,4434,9599
421,6425,5523,8678,8817,7413,6617,1687,2798,3426,6165,5563,6288,9277,4670,147,3527,2283,5022,9568
6971,3557,4410,8740,9550,8833,7326,9844,1664,7311,7905,9642,3423,3061,4049,6192,3782,6568,6438,2183
1025,8656,7145,7616,1140,7844,1437,1622,3476,2318,3231,356,4937,8806,3943,2848,7586,5800,4857,757
5338,998,2982,9637,1310,1322,5755,8733,9404,6080,8659,6530,884,1019,3085,4057,8018,8516,2864,4673
4133,5560,650,5743,9144,1720,5712,8834,7922,8795,5938,4471,6932,3800,1495,331,242,461,4697,1667
7668,6388,1326,8231,279,6357,6717,7316,1811,1970,3475,6822,299,7493,1881,4161,3769,1447,4521,7040
4872,5014,5978,8463,638,1264,5736,9830,7200,1444,9040,937,5267,7094,6645,2315,9148,1840,2987,9301
3990,9601,4737,9153,9477,1113,5693,605,4099,1078,1971,9980,4864,4479,6861,2090,7323,1361,5799,3132
2385,9718,7438,4255,8691,1371,6086,9420,5485,7015,8314,4603,3359,3766,4841,5842,6036,2374,708,3602
3717,7042,4395,7662,8010,8850,3447,8971,6629,3274,9560,5377,4653,8274,6929,4283,2918,3842,1384,4122
4612,5326,6747,6553,8644,4192,3964,2498,79,7123,3232,163,7081,9388,1577,5333,414,6928,5129,5554
1280,5341,4144,6091,3566,5178,7830,3776,9051,7308,289,8571,6325,8516,1876,9570,5907,6783,3677,9157
2598,8997,7907,1312,1344,5809,1153,2495,5569,4956,8066,4764,5896,9027,9303,1469,2765,1496,4210,6666
619,611,3819,8286,9699,4408,911,4132,1147,4134,1253,1017,3461,3122,3983,2002,1988,8776,5480,8151
3332,1050,4822,9382,1178,761,6799,4505,2455,2241,4104,573,6541,743,6930,4651,4469,5023,3852,8417
6396,5387,5049,7830,8545,7019,9848,9128,3907,6021,8200,133,4157,8163,2019,4123,8276,328,4026,408
6701,8498,4873,1315,8757,6382,3568,9640,3151,5609,1296,3305,533,916,6198,3947,6950,4381,7263,5453
2470,8260,304,9191,8889,949,5691,7906,1490,6515,1095,8144,4382,3058,3895,2001,9702,3486,2320,3159
653,9647,1014,2240,8272,6323,1695,1845,176,1318,2635,4695,7742,3162,957,2951,5456,966,6097,1831
7106,5540,194,5671,5590,4,6234,604,8150,9507,7280,5552,2045,3236,3109,4723,4913,3814,9753,5491
1117,3818,203,7978,9587,154,2162,7210,5729,5649,5531,1838,1352,1830,6805,5442,6332,7396,1613,9291
6566,2423,1659,7276,8140,7261,3629,138,4630,983,8617,1393,7542,8998,1607,5828,3329,3884,9445,8187
1086,5547,8499,8562,5601,9115,3504,8123,8223,6951,8176,738,6492,7643,7024,6913,6634,1851,5402,933
6317,1491,2335,8950,9745,6460,1668,9913,1445,2283,5662,1722,7406,1883,3157,6008,360,270,8095,3192
3811,5810,6919,4909,998,1546,935,3787,6879,2773,4774,9582,2331,9544,4092,4421,3035,1953,7208,5201
1682,1829,700,6813,4577,8996,3612,6831,8509,622,8814,3610,5550,5212,8138,2228,4492,9178,5673,3142
7074,9492,2299,9308,7029,847,3592,8000,6089,7612,6368,9707,1930,4108,626,2229,7066,3467,771,9638
7653,3877,5987,8856,7917,7992,7595,8071,6609,6943,7275,3958,562,9625,4536,8622,5677,1123,3300,4257
6158,7361,4946,3815,8170,7736,5740,6056,6791,9200,3790,8253,3193,8610,3999,6752,6947,1340,8861,5475
2916,2688,6217,5351,2288,9233,5762,4626,3805,2257,105,9880,6970,4230,8909,1873,8290,1444,6029,9943
3737,5381,1037,4806,9642,9469,5723,9449,2719,5104,313,2610,1131,4844,157,6979,4931,1932,3713,3039
3511,6536,8776,9731,8265,1061,5422,3922,7111,8777,1789,2716,7033,836,7739,6534,4336,2705,493,3000
6310,3195,4576,5588,9977,8137,5660,1776,7787,1934,7237,4977,8146,2579,6054,36,6092,8053,7579,7876
1433,5974,4195,9757,608,3657,3149,1403,1662,1365,2940,6289,2522,5494,2157,8994,2870,7224,9813,5887
2650,7909,4034,6677,9066,6611,6773,91,6404,9060,7925,8530,7117,1573,2151,2020,6953,2523,2832,1597
6498,2424,8741,6962,9482,593,5985,5886,2534,9187,1959,5995,1141,1814,9299,9831,3209,2093,5927,4820
